"type","language","filename","graph","reordering","NES","NWES","time","bandwidth","profile","span","avgwavefront","RMSwavefront","reachtime","peaknodes"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0032.pnml","bipartite","vcm",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/SwimmingPool-6.pnml","bipartite","vgps",,,"0.000",,,,,,"1030.640","487229"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0512DC0256.pnml","total","bs","0.47","0.7","0.000","17","432","590","6.727","7.023","0.000","9"
performance,"PNML","spec/PNML/rwmutex-r20w10.pnml","bipartite","Noack2",,,"0.010",,,,,,"317.590","10485886"
statistics,"PNML","spec/PNML/raft_04.pnml","bipartite","vgps","0.30447","0.43045","0.010","83","14457","19438","39.415","43.116","4.840","24954"
performance,"PNML","spec/PNML/railroad-005-pt.pnml","total","vcm",,,"0.000",,,,,,"0.100","2991"
statistics,"PNML","spec/PNML/simple_lbs-5.pnml","bipartite","bs","0.37985","0.40361","0.010","225","23498","16697","22.548","24.336","4.330","11340"
performance,"PNML","spec/PNML/dekker-20.pnml","bipartite","Noack2",,,"0.010",,,,,,"31.640","2575"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT2048DC1024.pnml","total","bs","0.47","0.7","0.000","17","432","590","6.727","7.023","0.000","9"
performance,"PNML","spec/PNML/RAS-R-100.pnml","bipartite","Noack2",,,"0.010",,,,,,"9.900","15333"
performance,"PNML","spec/PNML/ProductionCell.pnml","bipartite","f",,,"0.020",,,,,,"33.510","40757"
statistics,"PNML","spec/PNML/Kanban-20.pnml","bipartite","bs","0.207","0.266","0.000","15","162","197","3.312","3.446","26.320","146294"
performance,"PNML","spec/PNML/angiogenesis-10.pnml","bipartite","vgps",,,"0.000",,,,,,"409.260","920512"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0032.pnml","bipartite","vacm","0.46","0.68","0.000","5","82","109","4.12","4.3","0.000","9"
performance,"PNML","spec/PNML/RAS-R-3.pnml","bipartite","vgps",,,"0.000",,,,,,"0.000","36"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0256DC0128.pnml","total","vcm",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/Kanban-20.pnml","bipartite","vcm","0.32","0.398","0.000","8","209","284","5.594","5.945","73.170","340536"
performance,"PNML","spec/PNML/rwmutex-r10w1000.pnml","bipartite","vcm",,,"0.230",,,,,,"877.130","1033124"
performance,"PNML","spec/PNML/RAS-R-15.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.030","430"
performance,"PNML","spec/PNML/cs_repetitions-3-unfolded.pnml","bipartite","Noack1",,,"0.000",,,,,,"52.070","110955"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT4096DC2048.pnml","bipartite","Noack2",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/RAS-C-20.pnml","total","bs","0.06458","0.06828","0.020","34","9045","12447","9.07762","9.17883","0.040","1049"
statistics,"PNML","spec/PNML/SwimmingPool-1.pnml","total","vacm","0.49","0.75","0.000","11","338","495","8.028","8.529","0.230","3504"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0512DC0128.pnml","bipartite","bs",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/IBM703.pnml","bipartite","vcm",,,"0.000",,,,,,"1.580","2786"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0064.pnml","bipartite","bk",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/SwimmingPool-1.pnml","none","none","0.67","1.1",0,"14","177","71","6.19","6.76","1.620","30776"
performance,"PNML","spec/PNML/database2UNFOLD.pnml","total","bcm",,,"0.000",,,,,,"0.010","197"
statistics,"PNML","spec/PNML/QCertifProtocol_06-unfold.pnml","bipartite","bcm","0.27746","0.35439","0.000","132","29347","43298","51.842","59.2458","35.350","346768"
performance,"PNML","spec/PNML/SwimmingPool-4.pnml","total","bcm",,,"0.000",,,,,,"1333.310","2767749"
performance,"PNML","spec/PNML/database4UNFOLD.pnml","total","vacm",,,"0.010",,,,,,"720.760","1760806"
performance,"PNML","spec/PNML/QCertifProtocol_02-unfold.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.060","2265"
statistics,"PNML","spec/PNML/ring.pnml","bipartite","Noack1","0.19606","0.29725","0.000","221","28754","6346","79.088","89.453","4.090","43373"
statistics,"PNML","spec/PNML/erk-000010.pnml","total","vcm","0.463","0.708","0.000","21","833","1120","12.79","13.85","0.090","2021"
performance,"PNML","spec/PNML/rwmutex-r10w50.pnml","total","vgps",,,"0.140",,,,,,"0.380","4409"
performance,"PNML","spec/PNML/RAS-R-5.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.000","100"
performance,"PNML","spec/PNML/rwmutex-r10w500.pnml","total","vacm",,,"24.660",,,,,,"175.450","516072"
performance,"PNML","spec/PNML/SwimmingPool-1.pnml","bipartite","bs",,,"0.000",,,,,,"0.280","6636"
performance,"PNML","spec/PNML/Peterson-2.pnml","bipartite","vcm",,,"0.000",,,,,,"1.630","6739"
statistics,"PNML","spec/PNML/parking_1_4.pnml","total","vgps","0.279","0.3777","0.010","139","37451","53039","74.2143","82.8987","2.250","39289"
performance,"PNML","spec/PNML/neoelection-2.unf.pnml","none","none",,,0,,,,,,"0.410",
performance,"PNML","spec/PNML/HouseConstruction-005.pnml","bipartite","bs",,,"0.000",,,,,,"0.360","5542"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0064DC0032.pnml","total","vacm",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/TokenRing-10-unfolded.pnml","bipartite","bcm","0.193385","0.232009","0.040","410","233555","265900","101.1631","117.8146","2.960","4600"
performance,"PNML","spec/PNML/TokenRing-15-unfolded.pnml","total","vcm",,,"0.130",,,,,,"98.120","13100"
statistics,"PNML","spec/PNML/UtahNoC.pnml","bipartite","bcm","0.238424","0.302218","0.040","659","414962","454199","189.6857","227.7261","645.590","95895"
performance,"PNML","spec/PNML/erk-000010.pnml","none","none",,,0,,,,,,"0.640",
performance,"PNML","spec/PNML/angiogenesis-15.pnml","bipartite","Noack2",,,"0.000",,,,,,"851.840","3153166"
performance,"PNML","spec/PNML/RAS-C-100.pnml","total","bcm",,,"0.030",,,,,,"0.750","5338"
statistics,"PNML","spec/PNML/Philosophers-10.pnml","bipartite","vcm","0.1436","0.1695","0.000","11","1028","1510","9.51","9.748","0.020","297"
performance,"PNML","spec/PNML/SafeBus-03-unfolded.pnml","bipartite","vacm",,,"0.000",,,,,,"0.450","5122"
performance,"PNML","spec/PNML/Philosophers-5.pnml","bipartite","vacm",,,"0.000",,,,,,"0.000","137"
performance,"PNML","spec/PNML/closed_system4.pnml","bipartite","Noack2",,,"0.000",,,,,,"10.300","63848"
performance,"PNML","spec/PNML/BridgeAndVehicles-V10-P10-N10-unfolded.pnml","total","bcm",,,"0.010",,,,,,"33.080","87839"
statistics,"PNML","spec/PNML/RAS-C-100.pnml","bipartite","Noack1","0.0128417","0.0130003","0.020","997","503484","5470","301.3","347.538","0.680","6241"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0064DC0032.pnml","bipartite","Noack1","0.57","0.94","0.000","14","195","78","6.53","7.11","0.000","9"
performance,"PNML","spec/PNML/rwmutex-r10w20.pnml","bipartite","bk",,,"0.000",,,,,,"0.430","23138"
performance,"PNML","spec/PNML/FMS-50.pnml","bipartite","bs",,,"0.000",,,,,,"12.440","46127"
performance,"PNML","spec/PNML/CircularTrain-192.pnml","bipartite","bk",,,"0.010",,,,,,"690.180","523652"
performance,"PNML","spec/PNML/FMS-2.pnml","bipartite","f",,,"0.000",,,,,,"0.000","126"
performance,"PNML","spec/PNML/distributeur-01-unfolded-02.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.000","103"
performance,"PNML","spec/PNML/FMS-100.pnml","total","bk",,,"0.000",,,,,,"1692.530","598325"
performance,"PNML","spec/PNML/rwmutex-r10w1000.pnml","total","vacm",,,"51.410",,,,,,"836.720","1030067"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT0512DC0128.pnml","total","bs",,,"0.000",,,,,,"0.000","9"
performance,"PNML","spec/PNML/Philosophers-500.pnml","total","vacm",,,"24.890",,,,,,"7.370","15982"
performance,"PNML","spec/PNML/galloc_res-3.pnml","bipartite","Noack2",,,"0.030",,,,,,"0.820","2920"
statistics,"PNML","spec/PNML/Kanban-5.pnml","bipartite","f","0.25","0.354","0.000",,,,,,"0.080","976"
performance,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","total","bk",,,"0.000",,,,,,"0.040","561"
performance,"PNML","spec/PNML/RAS-R-2.pnml","bipartite","bcm",,,"0.000",,,,,,"0.000","28"
performance,"PNML","spec/PNML/5-10_phaseVariation.pnml","bipartite","Noack1",,,"0.010",,,,,,"29.800","77370"
performance,"PNML","spec/PNML/HouseConstruction-002.pnml","total","bk",,,"0.000",,,,,,"0.010","600"
performance,"PNML","spec/PNML/angiogenesis-05.pnml","bipartite","vcm",,,"0.000",,,,,,"43.010","375328"
performance,"PNML","spec/PNML/SwimmingPool-3.pnml","bipartite","Noack1",,,"0.000",,,,,,"751.230","1499354"
performance,"PNML","spec/PNML/SwimmingPool-3.pnml","total","vcm",,,"0.000",,,,,,"26.500","66994"
performance,"PNML","spec/PNML/sg-2-1-2.pnml","total","vacm",,,"0.000",,,,,,"4.260","9689"
statistics,"PNML","spec/PNML/SafeBus-03-unfolded.pnml","none","none","0.4612","0.7455",0,"113","12855","4877","35.831","39.237","0.620","6605"
performance,"PNML","spec/PNML/SmallOperatingSystem-MT8192DC2048.pnml","total","vcm",,,"0.000",,,,,,"0.000","9"
statistics,"PNML","spec/PNML/MAPK-8.pnml","total","bk","0.255","0.337","0.000","33","2992","4497","14.451","16.35","0.030","841"
performance,"PNML","spec/PNML/parking_1_4.pnml","bipartite","Noack1",,,"0.010",,,,,,"0.060","860"
performance,"PNML","spec/PNML/Kanban-20.pnml","none","none",,,0,,,,,,"13.090",
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0128DC0032.pnml","bipartite","bcm","0.51","0.78","0.000","6","94","125","4.35","4.61","0.000","9"
performance,"PNML","spec/PNML/BridgeAndVehicles-V20-P20-N10-unfolded.pnml","bipartite","f",,,"0.010",,,,,,"101.360","156824"
statistics,"PNML","spec/PNML/philo_dyn-3-unfolded.pnml","bipartite","f","0.373","0.5544","0.000",,,,,,"0.030","576"
statistics,"PNML","spec/PNML/RAS-R-50.pnml","bipartite","vgps","0.031716","0.032803","0.010","4","1459","2293","4.3113","4.3816","1.290","4348"
performance,"PNML","spec/PNML/RAS-R-2.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.000","28"
statistics,"PNML","spec/PNML/SmallOperatingSystem-MT0256DC0128.pnml","total","vgps","0.51","0.82","0.000","11","454","687","8.705","9.124","0.000","9"
statistics,"PNML","spec/PNML/MAPK-40.pnml","bipartite","bcm","0.315","0.452","0.000","14","505","675","6.846","7.56","13.560","54092"
statistics,"PNML","spec/PNML/Kanban-20.pnml","total","vgps","0.262","0.31","0.000","15","725","1109","8.653","9.268","142.780","992713"
performance,"PNML","spec/PNML/IBM703.pnml","bipartite","bcm",,,"0.010",,,,,,"0.390","1579"
statistics,"PNML","spec/PNML/rwmutex-r10w10.pnml","bipartite","Noack2","0.383","0.5498","0.000","74","5022","1898","32.11","35.79","0.110","10294"
statistics,"PNML","spec/PNML/soli0_square5.pnml","total","vacm","0.2881","0.3836","0.020","170","55272","74190","82.9068","92.0991","17.230","114207"
performance,"PNML","spec/PNML/MAPK-80.pnml","total","vcm",,,"0.000",,,,,,"259.200","90808"
performance,"PNML","spec/PNML/distributeur-01-unfolded-02.pnml","bipartite","Noack1",,,"0.000",,,,,,"0.010","103"
performance,"PNML","spec/PNML/SwimmingPool-2.pnml","bipartite","vacm",,,"0.000",,,,,,"3.890","21749"
performance,"PNML","spec/PNML/Philosophers-5.pnml","bipartite","Noack2",,,"0.000",,,,,,"0.010","143"
